"#wordnet"
基礎,本
基礎,礎
堀,掘割
堂,殿堂
報,報告
報,情報
報,音沙汰
報い,罰
場,所
場合,折
場合,節
場合,際
場所,所
場面,所
塁,胸壁
塊,集団
増,増加
墨跡,手
墨蹟,手
壕,掘割
声,声音
声,音吐
声,音声
夏,夏季
夏,夏期
夏,朱夏
外形,姿
外見,姿
外観,姿
外面,姿
外面,面
夜,夜分
夜,夜間
夜,小夜
夜,暮夜
夜明け,曙
夢,希望
夢,理想
夢,絵空事
大,大きい
大きさ,嵩
大体,略
大便,糞
大凡,殆
大切,終
大神,神
天,天上
天,天上界
天,天国
天,天空
天上,空
天天,頭
天性,性
天性,根
天性,質
天水,雨
天空,宙
天空,空
太陰,月
失,欠損
失,欠点
失,欠陥
失,瑕疵
失,落ち度
失,誤ち
失,誤り
失,誤謬
失,躓き
失,過失
失,過誤
失,間違い
失,間違え
失,難点
奇,怪異
女,女人
女,女子
女,女性
女,婦女
女,婦女子
女,髪長
女の子,娘
女の子,嬢
女児,娘
女夫,番
女子,娘
女童,娘
好い人,色
妄言,虚
妄語,虚
妖魔,魔
妨げ,害
妨げ,瘤
妻,細君
姉さん,娘
始まり,源
姫,王女
姫,皇女
姿,姿形
姿,姿態
姿,容
姿,容体
姿,容姿
姿,容態
姿,形
姿,形体
姿,形姿
姿,形容
姿,形状
姿,形象
姿,恰好
姿,態
姿,格好
姿,様子
姿,様相
姿,見かけ
姿,見た目
姿,見掛け
姿,象
姿,身なり
姿,風体
姿,風姿
姿,風貌
姿,風采
姿形,形
娘,娘子
娘,嬢
娘,嬢さん
娘,子女
娘,小女
娘,少女
娘,御令嬢
娘,息女
娘,愛嬢
娘,早乙女
娘,童女
娘,若女
娘子,嬢
婢,小間使い
嫁,細君
嫁,花嫁
嬢,少女
嬶,細君
子,子女
子,子弟
子,小人
子,小僧
子,小児
子,小童
子,幼子
子,洟垂れ
子,童
子,童子
子ども,童
子供,童
孔,穿孔
学,学識
学,知識
宅,家
宅,家作
宅,宿
定め,運
定例,風
宝,財
宝,財貨
宝物,財
宝石,玉
宝石,珠
実,実体
実,実質
実,実際
実,情実
実,本当に
実,本質
実,正真
実,真
実,真実
実,真心
実,真情
実,真成
実,真誠
実,誠
実,誠心
実,誠意
客,客人
客,客分
客,来客
客,来者
客,来訪者
客,訪問客
客,訪客
客,買い手
客,買手
客,賓
客,賓客
客,過客
客,顧客
客舎,宿
室,房室
室,細君
室,部屋
室家,家
室家,宿
宮,宮殿
宮殿,社
害,害毒
家,家作
家,家宅
家,家居
家,家屋
家,家庭
家,家所
家,家族
家,家門
家,宿
家,宿り
家,居
家,居住
家,居宅
家,居所
家,屋
家,建屋
家,戸
家,棲家
家作,居
家作,屋
家宅,宿
家屋,宿
容,形
容,形態
容,形状
容,格好
容,相好
宿,宿屋
宿,居
宿,居宅
宿,屋
宿,旅亭
宿,旅人宿
宿,旅宿
宿,旅店
宿,旅籠
宿,旅舎
宿,旅荘
宿,旅館
宿,棲家
宿,泊まり
寂滅,死
密偵,犬
富み,財
対戦相手,敵
寿,慶賀
寿,祝
寿,祝辞
将,将軍
小手調べ,試
尾,尾っぽ
居敷,席
居敷,蓆
居館,邸
居館,館
屍,死屍
山,山場
山,牟礼
山,頂点
山嶺,峯
山嶺,峰
山嶺,嶺
山頂,峯
山頂,峰
山頂,嶺
峯,絶頂
峯,頂上
峰,絶頂
峰,頂上
嶺,絶頂
嶺,頂上
嶺,頂点
巡り合わせ,運
工作員,犬
差,差異
差,差違
差,異なり
差,違い
差,開き
差,隔たり
差違,違
巻,巻物
市,市場
帆柱,檣
希望,望
帛,絹布
帝,帝王
帝,皇帝
師,師匠
席,座
席,座席
席,莚
席,蓆
席,身分
常,永久
年,老い
幸,福
幸い,福
幸先,萌
庖,板場
庖,水屋
庖,炊事場
庖,調理場
店,店屋
店,店鋪
店,舗
店,販売店
店舗,舗
度,程度
座,蓆
座席,蓆
廉,根拠
廉,理屈
廉,理由
廉,節理
廉,訳
延滞,滞
式,式典
弔,弔意
弔,葬儀
形,格好
形態,態
形相,顔
彩,色彩
影,陰影
影,陰翳
役,役割
役,役目
役,戦
役,戦役
役,軍
往生,死
径,経路
径路,道
後,後継者
御仕置き,罰
御召,服
御召,衣
御召し,服
御宮,社
御花,華
御衣,服
心,心肝
心,心胆
心,心胸
心,心臓
心,心頭
心,心髄
心,心魂
心,意味
心,核
心,核心
心,真ん中
心,真中
心,神
心,肝
心,胸
志,志望
応報,酬
念,思い
念,想い
念,願い
性,性質
恐れ,虞
恐怖,虞
恐怖心,虞
恥,恥辱
恥,羞
恥,辱
恥辱,辱
恩,恩恵
恩,恵み
息,息吹
患,患い
悦,悦び
悦,慶び
悦,歓び
悪,悪いこと
悪,悪事
情,感情
情人,色
意,意味
意,意味合い
意,意図
意,気
意,気持ち
意,考え
意味,訳
意図,狙
意思,気
愚,愚かしい
愚,愚かしさ
愚,愚劣
愚,愚昧
愚,愚鈍
愚人,痴
愛,愛情
感,感じ
感,気分
感,気持ち
感じ,気
慈母,母
態,様子
態,風采
慶賀,祝
懲らしめ,罰
懶,懶惰
成敗,罰
我,自分
戒,諌め
戦,戦闘
戦,手合
戦略,策
戦略,謀
所,所在地
所,箇所
所以,訳
所存,気
所為,訳
所用,用
所縁,縁
手,手持ち部分
手,手段
手,手法
手,手跡
手,把手
手,掴み
手,握
手,握り
手,書
手,柄
手,筆跡
手,筆蹟
手,致し方
手,術
手,詮
手,途方
手,遣り方
手がかり,鍵
手並,技
手技,技
手指,指
手掛かり,緒
手掛かり,鍵
手本,鑑
手法,術
才,資質
才力,賢
技,技倆
技,腕
技,腕前
抄,抜き書き
抄,抜書き
把手,柄
抑欝,欝
抑欝,鬱
抑鬱,欝
抑鬱,鬱
抑鬱症,鬱
折,時
折,時期
折,時点
折,機会
折り,時
抜け,痴
抜け,鈍
持ち前,柄
掘割,渠
掘割,濠
掛け橋,桟
掟,規律
握り,柄
揺,震動
損傷,疵
摩擦,漣
操,貞節
支障,瘤
支障,癌
敗,敗北
敵,敵人
敵,敵対者
敵,競争相手
料理,膳
方,方向
方,方角
方,者
方式,法
方策,策
方途,道
旅,旅行
旋律,曲
日,日づけ
日,日付
日,日付け
日出,暁
旧習,風
旨,趣旨
昆虫,虫
昇天,死
昇天,没
明き,隙
明け方,暁
明け方,曙
昔,来し方
昔,過去
星,星印
星,星斗
春,春季
春,春期
春,春陽
昼前,朝
時,時点
時,時間
時,際
時期,期
景,景色
景,景象
景,眺望
景,風景
智,智恵
智,智慧
智,知恵
智恵,知
智慧,知
暗やみ,闇
曲,節
曲,調べ
書,本
書冊,本
書巻,本
書籍,本
書誌,本
最盛期,花
月,月あかり
月,月代
月,月光
月,月夜見
月,月影
月,月明
月,月明かり
月,月桂
月,月球
月,月色
月,月輪
月,桂月
月,玉兎
服,狭衣
服,着物
服,着衣
服,衣
服,衣料
服,衣紋
服,被服
木,樹形図
木立ち,林
本,根底
本,根柢
本,著書
本,読みもの
本当に,誠
札,歌留多
札,護符
朱,朱塗
材料,素
板,板材
板,舞台
果,結末
果,結果
栄光,誉
栄冠,誉
栄誉,誉
株,株券
株,株式
核,核心
根,素質
