"#wordnet"
幇助,手助け
幕開け,開始
庖,炊事場
庖,調理場
店,販売店
店舗,販売店
度合い,程度
延べ棒,麺棒
延期,繰延べ
延長,引伸し
建物,建築物
建物,建造物
建白,建白書
弓張り,弓形
弓手,押し手
引き伸ばし,引伸し
引き分け,相討ち
引き延ばし,引伸し
引き綱,綱手
引出し,抽斗
引分,相討ち
引分け,相討ち
弱体化,弱化
張り紙,貼り出し
張出し,貼り出し
当たり,打撃
当て所,目標
当惑,戸惑い
形代,身代り
役割,役回り
後,後継者
後ろ脚,後脚
後ろ足,後脚
後戻り,逆もどり
後戻り,逆戻り
後押し,後援
後継,後継者
後継者,継ぎ目
後継者,継手
従業員,被雇用者
従業者,被雇用者
得意先,顧客
御令嬢,息女
御召し,御衣
御召し,服
御召し,着物
御召し,衣紋
御役御免,首切り
御来光,日の出
御来光,日出
御用達,用足し
御部屋,房室
御食事処,料理屋
御食事処,料理店
御食事処,飲食店
心,真ん中
心くばり,気遣い
心地,気持ち
心得違い,誤認識
心疾患,心臓病
心緒,気持ち
心遣い,気遣い
心遣い,配意
心配,気遣い
心配り,気遣い
心配り,配意
怒り,腹立ち
怖さ,恐怖心
怖れ,恐怖心
思いあがり,自惚れ
思い上がり,自惚れ
思い違い,誤認識
思わく,期待
思召し,考え
恐さ,恐怖心
恐れ,恐怖心
恐ろしさ,恐怖心
恐怖,恐怖心
恐怖心,虞
息抜き,憩い
悋気,焼き餅
悲しさ,悲しみ
悶着,揉め事
愉しみ,愉楽
愉しみ,楽しみ
意,気持ち
愚か者,愚人
愚人,痴れ者
愚人,馬太郎
愚人,馬鹿者
感,気持ち
感じ,雰囲気
感受性,感性
感知,気付き
慈善家,篤志家
慈母,母さん
態度,振舞い
態度,素振り
慢心,自惚れ
慣らし,風俗
慶び事,祝言
憂い,気遣い
憂い,物憂い
憂い,物憂げ
憂慮,気遣い
憤り,腹立ち
憶え,記憶力
成立ち,組みたて
成立ち,経緯
成行き,結末
成行き,結果
戸惑い,混迷
戸惑い,迷い
所,所在地
所有物,持物
手,致し方
手,遣り方
手伝い,援助
手伝い,支援
手始め,皮切り
手巾,汗拭き
手抜かり,抜かり
手抜かり,抜け目
手拭,汗拭き
手拭い,汗拭き
手探り,摸索
手段,手立て
手段,致し方
手段,遣り方
手法,手立て
手法,致し方
手洗い,手洗い場
手洗い場,洗面所
手直し,改造
手直し,是正
手直し,訂正
手立て,方法
手筈,計らい
手篭め,暴行
手詰まり,袋小路
打ちきり,打切り
打ち方,銃撃
打ち首,斬首
抄,抜書き
抄出,抜書き
抄録,抜書き
抑圧,押さえ
抑鬱症,欝病
抑鬱症,鬱
抑鬱症,鬱気
抑鬱症,鬱病
折り目,筋目
抜け,痴れ者
抜け,馬太郎
抜け,馬鹿者
抜け目,洩れ
抜け目,漏れ
抜け目,落ち度
抜け目,落度
抜け道,間道
抜書き,抜粋
抜書き,抜萃
拒否,断わり
拒絶,断わり
拘置所,鉄格子
拠り所,根拠
拠り所,理由
持ち,耐久性
持ち前,柄
持ち前,素質
持ち味,特徴
持ち味,特性
持ち味,特色
持ち味,特質
持久力,耐久力
持運び,携帯
挫折,挫折感
捩じれ,捩れ
排ガス,排気
排ガス,排気ガス
排他的権利,独占権
排水,水抜き
掛かり,支出
掛かり,費用
掛け合わせ,種付け
掛け橋,架橋
掛け橋,桟
掠り,擦り傷
掠り,擦過傷
掠り傷,擦り傷
接合点,接点
接点,接触点
推進器,推進機
揉め,揉め事
揉め事,摩擦
揉め事,衝突
揉め事,風波
換価,見積り
揺すり,脅迫
摸造,複製品
撃ち方,銃撃
撞着,頓珍漢
支援,肩入れ
支障,足かせ
支障,邪魔物
支障,邪魔者
改変,模様替
放火,火付け
放蕩者,道楽者
故人,物故者
故郷,生まれ
救い主,救済者
救世主,救済者
敗北,負け戦
敗戦,負け戦
敗者,負け犬
教え子,生徒
教本,教科書
教科書,教程
敵,敵対者
敵さん,敵人
敵さん,競争相手
敵人,敵対者
敵意,敵愾心
文士,著述家
料理,煮炊き
料理人,料理番
料理方,料理番
料理番,賄い
断交,縁切り
新聞,新聞紙
方法,致し方
方法,遣り方
方針,遣り方
旅亭,旅人宿
旅人,旅行家
旅人宿,旅宿
旅人宿,旅店
旅人宿,旅籠
旅人宿,旅舎
旅人宿,旅荘
旅人宿,旅館
旅行者,過客
既往,来し方
日,日づけ
日,日付け
日ざし,日光
日の出,日出
日光,日射し
日光,日差し
日射病,霍乱
日差し,日影
日曜,日曜日
旧時,来し方
明け方,暁
明け方,曙
明け方,黎明
昔,来し方
星彩,星明り
星影,星明り
晦冥,暗やみ
暗がり,暗やみ
暗がり,陰翳
暗やみ,闇
暗やみ,闇黒
暗やみ,陰影
暗やみ,陰翳
暗やみ,黒闇
暴漢,狼藉者
曠野,荒れ野
更新世,氷河期
最初,第一歩
最盛期,真っ盛り
最盛期,真盛り
最盛期,花
最高点,極点
月,月夜見
月代,月夜見
月夜見,月桂
有り様,状態
有り難み,有難味
有り難味,有難み
有機体,生き物
有機体,生物
有難み,有難味
木,樹形図
木立ち,林
未来,行く先
本当に,現実
本当に,誠
札,歌留多
来し方,過去
東方正教会,正教会
枯草熱,花粉症
柔軟性,軟性
栄養,栄養分
栄養,栄養素
栄養,滋養分
栄養分,栄養素
栄養素,養分
根原,発生源
案,目論み
案,目論見
椅子,腰かけ
椅子,腰掛け
楽,楽ちん
楽器演奏者,演奏家
楽器演奏者,演奏者
楽園,楽天地
楽土,楽天地
楽師,演奏家
楽師,演奏者
構造,組立て
構造,組織化
標石,距離標
標石,里程標
横取り,横領
欠け,欠けら
欠けら,破片
歯周疾患,歯周病
歴史,謂われ
死亡者,死者
死亡者,物故者
死人,物故者
死者,物故者
殲滅,皆殺し
気,気持ち
気つけ,気付け薬
気分,気持ち
気持ち,気色
気持ち,胸懐
気遣い,気配り
気遣い,配意
気配り,配意
気鬱,物憂い
水もの,水物
水もの,飲み物
水もの,飲料
水もの,飲物
水主,船乗り
水沫,水飛沫
水物,飲み物
水飛沫,飛沫
決まり,約束
沙汰,音沙汰
治療法,療法
波除,防波堤
波除,防潮堤
泥んこ,泥土
泥棒,物取り
泥棒,盗っ人
泥棒,窃盗犯
流れ星,流星
海沿い,海浜
消える,消失
消息,音沙汰
淡褐色,薄茶色
減俸,賃下げ
減給,賃下げ
渡世人,賭博師
渡世人,遊び人
温泉地,温泉郷
温泉地,湯元
温泉地,湯本
温泉郷,湯元
温泉郷,湯本
湿り気,湿気
満足,満足感
演奏会,音楽会
濃紺,濃紺色
灯かり,燭
烈しい,非道い
焼き餅,焼もち
焼もち,焼餅
父さん,父君
父さん,男親
爺さま,老爺
爺さん,老爺
牢,鉄格子
牢屋,鉄格子
牢獄,鉄格子
物取り,窃盗犯
物書き,著述家
物言い,諍い
特許料,特許権使用料
犠牲,犠牲者
犠牲,生け贄
犬,諜報員
犯人,犯罪者
犯人,縄付き
獄,鉄格子
獄舎,鉄格子
現ナマ,金員
球根植物,球根類
生きる,生存
生き方,生方
生き物,生体
生き物,生活体
生き物,生類
生き霊,生霊
生まれ,生国
生まれ,生地
生まれ,生誕
生まれ,誕生
生活体,生物
用事,用向き
用足し,用達
田作り,田子
由縁,繋がり
由縁,関わり
申し訳,言い訳
申し開き,言い訳
画人,絵かき
画人,絵描き
画人,絵書き
画伯,絵かき
画伯,絵描き
画伯,絵書き
異国人,異邦人
疎明,言い訳
痴れ者,痴人
痴人,馬太郎
痴人,馬鹿者
発祥,芽生え
白拍子,遊女
百分比,百分率
皆殺し,鏖殺
皇后宮,皇后陛下
皇后宮,皇妃
盗っ人,窃盗犯
盗人,窃盗犯
監察,監察官
監獄,鉄格子
目あて,目標
目あて,目的
目こぼし,見落し
目当て,目標
目当て,目的
目打,目打ち
目算,積もり
目算,胸算用
目算,見積り
目算,見越し
目算,見込み
目算,見通し
目見え,相見
目覚め,覚醒
目論み,計画
目論み,謀
目論見,計画
目論見,謀
盲腸炎,虫垂炎
相好,顔つき
相好,顔付き
相子,相討ち
相手,相手方
相打ち,相討ち
真珠層,真珠母
真直,真直ぐ
真菌,真菌類
眷属,親せき
眷族,親せき
眺望,見渡し
短縮,短縮形
碧天,青天井
社交,行き来
祝,祝い事
祝い,祝い事
祝言,結婚式
祝言,輿入れ
秘,隠し事
秘めごと,秘め事
秘めごと,隠し事
秘め事,隠し事
秘事,隠し事
称号,肩書き
移ろい,転移
積分,積分法
空気,雰囲気
窮乏,貧しさ
立案者,計画者
端末,端末機
競技,腕比べ
筋合い,節理
筋合い,訳
節約,締まり
精密度,精度
精白糖,精糖
精糖,精製糖
紛い,紛い物
細工,細工物
組みたて,組立て
組立て,組織
組織,組織化
経験,見聞き
結婚,縁結び
結婚式,華燭
結核,結核症
結核症,肺結核
給与カット,賃下げ
絶え間,途切れ
絶え間,途絶
続き柄,親族関係
綴り,綴り方
綴り字,綴り方
綴り方,綴字
縁,繋がり
縁,関わり
縁,関連性
縁戚,親せき
縫物,針仕事
繁華,賑わい
繋がり,聯絡
繋がり,連絡
繋がり,連繋
繋がり,間柄
繋がり,関係
繋がり,関連性
繋り,関わり
繋り,関連性
織り地,裂地
繰りかえし,繰返し
罪悪感,罪責感
美,美しさ
美しい,美麗
群がり,集団
習わし,風
考え,考え方
考え方,見
考え方,見解
耕作地,耕地
聖処女,聖母マリア
育て親,養父母
肺ガン,肺癌
肺病,肺結核
能無し,非才
脅かし,脅し
脅かし,脅威
脅かし,脅迫
脇の下,腋下
脳こうそく,脳梗塞
脳出血,脳溢血
腫れ物,腫物
膵癌,膵臓癌
自己正当化,言い訳
自転車,銀輪
興奮,高ぶり
舌,言い方
航空便,航空郵便
般若湯,酒
舳先,船首部
芸術作品,芸術品
苛立ち,苛苛
若人,青少年
若僧,若輩者
若者,青少年
苦,苦しさ
苦,苦しみ
苦しさ,苦しみ
苦労,骨折り
荷馬車,馬力
落ち度,誤ち
落ち度,誤まり
落ち度,誤り
落ち度,誤謬
落ち度,躓き
落ち度,過ち
落ち度,間違い
落ち度,間違え
落伍者,負け犬
落度,誤まり
落度,間違い
落度,間違え
著作家,著述家
蒸発,雲隠れ
蓄え,貯蔵品
虚栄心,見え
虚栄心,見栄
虫,虫けら
融資,貸付け
血族,親せき
血液疾患,血液病
血縁,親せき
行ない,行動
行ない,行為
表情,面もち
表情,面付き
表情,面持ち
表情,顔つき
表情,顔付き
被い,遮蔽物
被告,被告人
被雇用者,雇い人
裁縫,針仕事
装い,身なり
装飾,装飾品
装飾品,飾り
装飾物,飾り
裏づけ,裏書き
裏付,裏書き
裏付け,裏書き
裏切り,裏切り行為
複製,複製品
見かけ,見栄
見たて,診断
見た目,見栄
見掛け,見栄
見栄,見栄え
見知り,顔馴染み
覚せい剤,覚醒剤
親しさ,親密性
親せき,親族関係
親せき,身寄り
親せき,類縁
親近,馴染み
解任,首切り
解任,首斬り
解決手段,解決策
解決法,解決策
解職,首切り
解職,首斬り
解雇,首切り
解雇,首斬り
言いよう,言い方
言い方,言い様
言い方,言葉づかい
言い方,言葉使い
言い方,言葉遣い
言い方,話し方
言い方,話方
言い方,話法
言い方,語法
言い訳,釈明
計算器,計算機
討議,話合い
訳知り,通人
証明書,証書
詐欺師,騙り
話,語らい
話し,語らい
話合い,談合
語らい,談
語らい,談話
誤ち,誤まり
誤ち,間違い
誤ち,間違え
誤まり,誤謬
誤まり,躓き
誤まり,過ち
誤まり,過失
誤まり,過誤
誤まり,錯誤
誤まり,間違い
誤まり,間違え
誤まり,非
誤り,間違え
誤謬,間違い
誤謬,間違え
読書室,閲覧室
誼,馴染み
論じる,議論
諷刺画,風刺画
護符,魔よけ
護符,魔除け
豚小屋,豚舎
豚箱,鉄格子
負い目,負債
負い目,金銭債務
貧,金欠病
貧しさ,貧乏
貧しさ,貧窮
貧しさ,金欠
貧しさ,金欠病
貧乏,金欠病
貧乏人,貧者
貧窮,金欠病
貧血,貧血症
責め苦,責苦
貴女,貴婦人
買収,買取り
貼り出し,貼り紙
資本金,資金
賭博師,遊び人
賭博師,遊人
賭博師,鉄火
贈り物,進物
走り,駆け足
超える,超過
躊躇,躊躇い
身の上,運命
軽犯罪,軽罪
辞職願,辞表
退散,逃げる
逃げる,逃亡
逃げる,逃走
透き間,隙
途切れ,途絶
途切れ,途絶え
通行券,通行証
通行手形,通行証
逢引き,逢瀬
遊び,遊び事
過ち,間違い
過ち,間違え
過失,間違い
過失,間違え
過怠,間違い
過怠,間違え
過誤,間違い
過誤,間違え
遠心分離機,遠心機
選択肢,選択項目
遺伝子疾患,遺伝病
邪魔,障害物
"#法令"
化学物質の審査及び製造等の規制に関する法律,化審法
火薬類取締法,火取法
外国為替及び外国貿易法,外為法
官公庁施設の建設等に関する法律,官公法
金融商品取引法,証取法
公職選挙法,公選法
公立学校施設災害復旧費国庫負担法,学災法
構造改革特別区域法,特区法
行政事件訴訟法,行訴法
行政不服審査法,行服法
国家公務員等の旅費に関する法律,旅費法
国家賠償法,国賠法
国民の祝日に関する法律,祝日法
私的独占の禁止及び公正取引の確保に関する法律,独禁法
自動車損害賠償保障法,自賠法
社債、株式等の振替に関する法律,社振法
住民基本台帳法,住基法
銃砲刀剣類所持等取締法,銃刀法
出資の受入れ、預り金及び金利等の取締りに関する法律,出資法
出入国管理及び難民認定法,入管法
昭和二十二年法律第五十四号（私的独占の禁止及び公正取引の確保に関する法律）,独禁法
製造物責任法,ＰＬ法
動物の愛護及び管理に関する法律,動管法
道路交通法,道交法
特定化学物質の環境への排出量の把握等及び管理の改善の促進に関する法律,化管法
日本たばこ産業株式会社法,ＪＴ法
農業災害補償法,農災法
農業振興地域の整備に関する法律,農振法
破壊活動防止法,破防法
不当景品類及び不当表示防止法,景表法
風俗営業等の規制及び業務の適正化等に関する法律,風営法
暴力団員による不当な行為の防止等に関する法律,暴対法
明治四十二年法律第二十二号（立木ニ関スル法律）,立木法
予算決算及び会計令,予決令
預金保険法,預保法
領海及び接続水域に関する法律,領海法
労働基準法,労基法
労働者災害補償保険法,労災法
