"#wordnet"
ちょんぼ,過ち
ちょんぼ,過失
ちょんぼ,過誤
ちんけ,劣等
つきあい,交際
つぎ目,嗣子
つながり,係り
つながり,繋り
つながり,連関
つり舟,釣舟
つり船,釣舟
つる植物,蔓草
てんご,悪戯
とき,タイム
とき,時間
ところ,場所
とっこ,騙り
とっさ,瞬間
とりで,胸壁
どん底,奈落
どん底,最低
どん詰まり,仕舞
どん詰まり,終り
ならず者,極道
におい,臭い
にせ物,紛い
ねじれ,捩り
ねね,ねんねこ
ねね,乳飲み子
ねね,幼児
ねね,赤ちゃん
ねんねこ,就眠
ねんねこ,眠り
ねんねこ,睡り
ねんねこ,睡眠
ののしり,悪態
ののしり,悪罵
のろし,烽火
はり,ギヤマン
はり,瑠璃
はれ物,腫物
ばか者,愚人
ばか者,抜け
ばか者,痴人
ばば,屎
ばば,糞
ばらつき,不斉
ぱくる,窃取
ぱくる,窃盗
ひいき,引き
ひいき,愛顧
ひとまとまり,一式
ひとまとまり,一組
ひとまとまり,揃い
ひとまとまり,揃え
ひとまとまり,組み
ひと通り,大凡
ひと通り,大略
ひと通り,平平
ひも,コード
ひもじさ,飢え
ひもじさ,餓え
ふざけ,悪戯
へま,失策
へま,過失
べべ,ウェア
べべ,御召
べべ,御衣
べべ,服
べべ,洋服
べべ,着物
べべ,衣紋
べべ,衣装
ほこり,塵埃
ぼやき,不平
ぼろ,欠点
ぼろ,欠缺
ぼろ,欠陥
ぼろ,汚点
ぼろ,瑕疵
ぼろ,短所
ぼろ,粗
ぼろ,難
ぼろ,難点
ぼんくら,痴人
ぽち,点
まっすぐ,真直
まっ暗,真暗
まっ暗,闇黒
まっ盛り,盛時
まっ盛り,高潮
まる裸,丸裸
むかつき,吐気
むかつき,嘔気
むかつき,悪心
めちゃ,無理
めちゃ,目茶
もつれ,紛糾
もつれ,縺れ
もと,原因
もと,本原
もと,材料
もと,源
もと,発生源
もと,種
もと,素材
もみがら,粗皮
もめ事,悶着
もめ事,揉め
もめ事,紛争
もめ事,紛擾
もめ事,紛紜
やけど,熱傷
やっかむ,嫉妬
やつ,ガイ
やつ,奴さん
やや,乳飲み子
やや,幼児
やや,赤ちゃん
やり口,仕様
やり口,手段
やり口,方式
やり口,方法
やり方,仕口
やり方,仕様
やり方,仕法
やり方,手口
やり方,手段
やり方,手法
やり方,手順
やり方,方式
やり方,方術
やり方,途方
よそ見,脇見
わき道,横筋
わけ,事情
わけ,事由
わけ,廉
わけ,所以
わけ,所為
わけ,根拠
わけ,理合
わけ,理屈
わけ,理由
わけ,理窟
わけ,理趣
わけ,由
わけ,由来
わけ,由縁
わけ,筋合
わけ,筋合い
わけ,節理
わけ,謂れ
わけ,道理
わざ,技能
わざ,技術
わずか,些少
わな,仕掛け
わやく,目茶
アイ,目
アイソレーション,孤立
アイテム,事項
アイテム,品目
アイテム,条款
アイテム,条目
アイテム,条項
アイテム,項目
アイドル,偶像
アイヴォリー,象牙
アウトライン,大凡
アウトライン,大略
アウトライン,綱要
アクシデント,事故
アクセサリ,装具
アクセサリー,装具
アクティビティ,活動
アクティビティー,活動
アクト,活動
アクト,行動
アクト,行為
アクトレス,女優
アグリーメント,契約
アサイラム,聖域
アサインメント,課題
アシスト,加担
アシスト,幇助
アシスト,援助
アシスト,支援
アジ,アジテーション
アジ,煽り
アジェンダ,予定
アジテーション,扇動
アジテーション,煽り
アジテーション,煽動
アジト,巣窟
アスペクト,局面
アスリート,選手
アセス,評価
アセスメント,評価
アタック,攻め
アタック,襲撃
アタッチメント,愛着
アダルト,大人
アダルト,大供
アダルト,成人
アップ,上伸
アップ,上昇
アップ,伸び
アップ,向上
アップ,増し
アップ,増加
アップ,増進
アテンション,注意
アトリビュート,属性
アド,アドレス
アド,広告
アド,所
アドバイス,忠告
アドバイス,進言
アドバタイジング,広告
アドベンチャー,冒険
アドレス,居所
アドレス,番地
アドヴァンス,進展
アドヴァンス,進歩
アナウンス,発表
アナウンスメント,発表
アニマル,動物
アノード,陽極
アバンギャルド,前衛
アパレル,洋服
アパレル,衣装
アビリティ,才力
アビリティ,能力
アビリティー,力量
アビリティー,才力
アビリティー,才能
アビリティー,技能
アビリティー,能力
アビリティー,腕前
アブストラクト,大凡
アブストラクト,大略
アブストラクト,綱要
アプリケーション,応用
アプリケーション,施用
アプリケーション,適用
アプローチ,接近
アプローチ,近接
アポ,約束
アミ,恋人
アミューズメント,娯楽
アムネスティ,特赦
アライアンス,提携
アルチザン,職工
アレンジ,布置
アレンジ,按排
アレンジ,按配
アレンジ,案配
アレンジ,配置
アレンジメント,手筈
アレンジメント,配置
アロケーション,割当
アロマ,芳香
アロマ,薫香
アロマ,香り
アンサー,回答
アンサー,返事
アンダーウェア,下着
アンダーウエア,下着
アンニュイ,倦怠
アンパイア,審判
アンパイヤ,審判
アーギュメント,議論
アース,大地
アースクェイク,地震
アーチ,弓張
アーチ,弓形
アーチ形,弓張
アーチ形,弓形
アーティクル,品物
アーティクル,記事
アーティクル,項目
アート,工芸
アート,美術
イクイップメント,機器
イクイップメント,機材
イクイップメント,装備
イクイップメント,設備
イクスキューズ,口実
イクスキューズ,弁解
イクスキューズ,言訳
イニシアル,頭字
イニシエーション,入会
イニシャル,頭字
イマジネーション,想像
イマジネーション,空想
イミグレーション,入植
イミグレーション,移住
イメージ,偶像
イメージ,影像
イメージ,心像
イメージ,心象
イメージ,想像
イメージ,画像
イメージ,面影
イラスト,図版
イラスト,挿画
イラスト,挿絵
イリュージョン,幻覚
イルミネーション,照明
イルージョン,幻覚
イン,宿
イン,旅人宿
インカム,入前
インカム,収入
インカム,収益
インカム,所得
インシデント,事件
インシュアランス,保険
インスツルメント,楽器
インスティンクト,本能
インストゥルメント,楽器
インストラクション,命令
インストラクション,指示
インストラクター,先公
インストラクター,先生
インストルメント,楽器
インストール,装備
インスピレーション,霊感
インスペクション,吟味
インスペクション,査察
インスペクション,検査
インスペクション,点検
インスペクション,監察
インスペクション,視察
インスペクション,調査
インスペクター,検見
インセンス,薫香
インセンティブ,刺激
インセンティブ,励み
インタラプト,中断
インタラプト,中止
インタレスト,感興
インタレスト,興味
インタレスト,関心
インチキ,偽作
インチキ,偽物
インチキ,紛い
インチキ,贋作
インチキ,贋物
インテリジェント,英明
インディペンデント,独立
イントラ,先公
イントラ,先生
インナー,下着
インバース,反対
インパクト,影響
インパクト,打撃
インパクト,衝撃
インピーダンス,抵抗
インフォメーション,情報
インフォーマル,内内
インフォーメーション,情報
インフルエンザ,流感
インフルエンス,影響
インプレッション,印象
インプレッション,感じ
インプレッション,感想
インベントリ,棚卸
インベントリー,棚卸
インヴェンション,発明
インヴェンション,考案
ウィザード,名人
ウィザード,達人
ウィークエンド,土日
ウィークエンド,週末
ウィークポイント,欠点
ウィークポイント,鬼門
ウイザード,名人
ウイザード,達人
ウイークポイント,弱み
ウイークポイント,弱点
ウェア,御衣
ウェア,狭衣
ウェア,着物
ウェア,着衣
ウェア,衣料
ウェア,衣服
ウェア,衣紋
ウェア,衣装
ウェア,衣裳
ウェア,衣類
ウェア,被服
ウェア,装い
ウェア,装束
ウェザー,天候
ウェザー,天気
ウェザー,天象
ウェディング,婚礼
ウェディング,祝言
ウエア,御衣
ウエア,洋服
ウエア,着物
ウエア,衣紋
ウエア,衣装
ウエア,装い
ウエザー,天候
ウエザー,天気
ウエザー,天象
ウエディング,婚礼
ウエディング,祝言
ウエポン,武器
ウッドペッカー,啄木
ウマ,馬
ウーマン,女性
エアクラフト,銀翼
エアプレーン,銀翼
エアプレーン,鵬翼
エイジェント,代人
エイド,助成
エイド,援助
エキササイズ,運動
エキス,真髄
エキスパート,名人
エキスパート,名手
エキスパート,玄人
エクイップメント,機器
エクイップメント,機材
エクイップメント,設備
エクササイズ,例題
エクササイズ,稽古
エクササイズ,練習
エクササイズ,訓練
エクササイズ,運動
エクスキューズ,口実
エクスタシー,恍惚
エクスタシー,法悦
エクステンション,拡大
エクスプレッション,表出
エクスプレッション,表現
エクスプロージョン,爆発
エクスプロージョン,爆裂
エクスプロージョン,破裂
エクスペリエンス,体験
エクスペリエンス,経験
エクセプション,例外
エクラン,映画
エクラン,活動
エコノミー,節減
エゴ,我
エゴ,自己
エゴ,自我
エゴイスティック,我侭
エスカレーション,増大
エスケープ,出奔
エスケープ,脱走
エスケープ,逃散
エスケープ,逃走
エスケープ,逃避
エスケープ,逸出
エスケープ,逸走
エスプリ,精神
エチケット,作法
エッチ,エロ
エッチ,卑猥
エッチ,尾篭
エッチ,淫乱
エッチ,淫奔
エッチ,淫猥
エッチ,淫靡
エデュケーション,教育
エナジー,気力
エナジー,活力
エナジー,精力
エネミー,敵人
エネルギー,気力
エネルギー,活力
エネルギー,精力
エピソード,挿話
エボリューション,進化
エボリューション,進展
エボリューション,進歩
エポック,時代
エモーション,情動
エモーション,感情
エラー,ペケ
エラー,ポカ
エラー,ミス
エラー,不作
エラー,失態
エラー,失敗
エラー,失策
エラー,粗相
エラー,落度
エラー,誤ち
エラー,誤り
エラー,誤謬
エラー,躓き
エラー,過ち
エラー,過失
エラー,過誤
エラー,錯誤
エリア,一帯
エリア,一廓
エリア,一画
エリア,一郭
エリア,地区
エリア,地帯
エリア,地方
エリア,範囲
エリヤ,一帯
エリヤ,一廓
エリヤ,一画
エリヤ,一郭
エリヤ,区域
エリヤ,区画
エリヤ,地区
エリヤ,地域
エリヤ,地帯
エリヤ,地方
エリヤ,領域
エレガンス,品位
エレガンス,風雅
エレキテル,電力
エレキテル,電気
エレメント,成分
エレメント,要素
エンジョイ,享受
エンゼル,天使
エンタープライズ,企業
エンタープライズ,会社
エンディング,結末
エンド,大切
エンド,最期
エンド,末期
エンド,端末
エンド,結末
エンドレス,永久
エンブレム,胸章
エンブロイダリー,刺繍
エヴォリューション,発展
エヴォリューション,発達
エヴォリューション,進化
エヴォリューション,進歩
エージ,年代
エージ,時代
エージェント,代人
オピニオン,意見
オピニオン,考え
オピニオン,見解
オファー,申入
オファー,申出
オフェンス,攻撃
オブジェクション,反対
オペ,作業
オペ,作用
オペ,働き
オペ,操作
オペレーション,作戦
オペレーション,作用
オペレーション,手術
オペレーション,操作
オミット,除外
オミット,除斥
オムニバス,バス
オランウータン,猩猩
オリジナリティ,創意
オリジナリティ,独創
オリジナリティー,創意
オリジナリティー,独創
オリジン,淵源
オルガン,風琴
オーガナイズ,構成
オーガナイズ,組織
オーガニゼーション,構成
オーガニゼーション,組織
オーケイ,許可
オーケー,同意
オーケー,承認
オーケー,許可
オーケー,賛成
オーサー,作家
オーソライズ,公許
オーソライズ,公認
オーソリティ,大宗
オーソリティ,権限
オーソリティー,大宗
オーソリティー,権限
オーダ,命令
オーダ,順序
オーダ,順番
オーダー,命令
オーダー,次第
オーダー,用命
オーダー,秩序
オーダー,順位
オーダー,順序
オーダー,順番
オーディション,聴覚
オーナメント,装飾
オーバ,外衣
オーバー,外衣
オーバーコート,外套
オーバーコート,外衣
オーバータイム,残業
オーバーヒート,過熱
オーバーフロー,溢水
オーバーフロー,溢流
オーバーフロー,越流
オーバーワーク,過労
オープニング,序盤
オープン,公然
オープン,開放
オールドミス,売残
オールドミス,老嬢
オールラウンド,多能
オールランド,多能
カウンターアタック,反撃
カウンターアタック,反攻
カウンターアタック,逆襲
カソード,陰極
カタストロフ,天災
カタストロフ,惨事
カタストロフ,惨劇
カタストロフ,災禍
カタストロフ,破局
カタストロフ,破滅
カタストロフィ,天災
カタストロフィ,惨事
カタストロフィ,惨劇
カタストロフィ,災害
カタストロフィ,災禍
カタストロフィ,破局
カタストロフィ,破滅
カタストロフィー,天災
カタストロフィー,惨事
カタストロフィー,惨劇
カタストロフィー,災害
カタストロフィー,災禍
カタストロフィー,破局
カタストロフィー,破滅
カタルシス,浄化
カッティング,切る
カッティング,切断
カット,切る
カット,切断
カット,削減
カット,縮小
カップル,ペア
カップル,一対
カップル,女夫
カップル,番い
カテゴリ,種別
カテゴリ,種目
カテゴリ,種類
カテゴリ,部門
カテゴリ,部類
カテゴリー,種別
カテゴリー,種目
カテゴリー,種類
カテゴリー,範疇
カテゴリー,部門
カテゴリー,部類
カバー,援護
カバー,被い
カピタン,艇長
カムバック,再起
カムフラージュ,偽装
カムフラージュ,擬装
カモフラージュ,偽装
カモフラージュ,擬装
カラー,彩り
カラー,色相
カリカチュア,漫画
カルチャー,教養
カルチャー,文明
カルチュア,文化
カレンシー,通貨
カンパニー,企業
カンパニー,会社
カンラン,甘藍
カヴァー,援護
カヴァー,被い
カー,列車
カー,車両
カートリッジ,薬莢
カード,凝乳
カーブ,反り
カーブ,彎曲
カール,彎曲
カール,縮毛
カーヴ,反り
カーヴ,彎曲
カ所,ポイント
カ所,点
カ所,箇所
ガイ,奴
ガイ,男
ガイ,男性
ガイ,若者
ガイスト,亡者
ガイスト,亡霊
ガイスト,亡魂
ガイスト,幽霊
ガイスト,幽鬼
ガイスト,幽魂
ガイスト,心意
ガイスト,心胆
ガイスト,心霊
ガイスト,心魂
ガイスト,性霊
ガイスト,神気
ガイスト,精気
ガイスト,精神
ガイダンス,指導
ガイダンス,指示
ガイド,先導
ガイド・ブック,便覧
ガイド・ブック,必携
ガイド・ブック,手引
ガイド・ブック,案内
ガス,放屁
ガッツ,意気
ガッツ,根性
ガッツ,気概
ガラス,瑠璃
ガン,ヘント
ガン,鉄砲
ガール,乙女
ガール,娘子
ガール,少女
キイ,キー
キイ,ヒント
キイ,手がかり
キイ,手掛かり
キイ,足掛かり
キック,蹴る
キックオフ,発足
キックオフ,開始
キックオフ,開幕
キッチン,板場
キッチン,水屋
キッチンシンク,流し
キッド,子供
キネマ,映画
キネマ,活動
キャッシュ,金員
キャップ,主将
キャップ,艇長
キャピタル,資金
キャピタル,頭字
キャプテン,大佐
キャプテン,大尉
キャプテン,船長
キャプテン,艇長
キャプテン,艦長
キャプテン,隊長
キャプテン,頭目
キャプテン,首長
キャベツ,甘藍
キャラクタ,人品
キャラクタ,人柄
キャラクタ,個性
キャラクタ,性情
キャラクタ,性格
キャラクタ,性質
キャラクター,人品
キャラクター,人柄
キャラクター,人格
キャラクター,個性
キャラクター,品性
キャラクター,性情
キャラクター,性格
キャラクター,性質
キャラクター,文字
キャラクター,気質
キャラバン,隊商
キャリア,履歴
キャリア,来歴
キャリア,経歴
キャリア,職歴
キャリヤ,履歴
キャリヤ,来歴
キャリヤ,経歴
キャリヤ,職歴
キャンサー,癌腫
キャンセル,中止
キャンセル,解消
キャンセル,解除
キャンピング,幕営
キャンプ,宿営
キャンプ,幕営
キング,王者
キー,キーポイント
キー,手がかり
キー,手懸かり
キー,手掛かり
キー,手掛り
キー,端緒
キー,糸口
キー,緒
キー,要訣
キー,要諦
キー,調
キー,調性
キー,足がかり
キー,足掛かり
キー,足掛り
キー,鑰
キーノート,主調
ギフト,賜物
ギフト,進物
ギブアップ,万歳
ギブアップ,断念
ギャグ,諧謔
ギャップ,格差
ギャップ,違い
ギャル,娘子
ギヤマン,琉璃
ギヤマン,瑠璃
クィーン,女帝
クィーン,女王
クィーン,王妃
クィーン,皇妃
クイーン,女帝
クイーン,女王
クイーン,王妃
クイーン,皇妃
クォーツ,水晶
クオリティ,品等
クオータ,割当
クオーツ,水晶
クッキング,料理
クライシス,危機
クライマックス,ヤマ
クライマックス,佳境
クライマックス,絶頂
クライマックス,高潮
クラウン,王冠
クラシック,名著
クラス,位地
クラス,分類
クラス,品位
クラス,品等
クラス,地位
クラス,年級
クラス,教室
クラス,界層
クラス,科目
クラス,程度
クラス,種別
クラス,種類
クラス,等級
クラス,範疇
クラス,身分
クラス,部類
クラス,階層
クラス,階級
クラスルーム,教場
クラスルーム,教室
クラック,割目
クラック,地割
クラック,破目
クラッシュ,衝突
クラフトマン,職工
クリア,明細
クリア,清澄
クリエイト,創作
クリエイト,創出
クリエイト,創造
クリエイト,独創
クリエーション,創作
クリエーション,創出
クリエーション,創造
クリエーション,独創
クリスタル,結晶
クリッピング,切抜
クリーニング,浄化
クリーニング,清掃
クルーズ,巡航
クルーズ,航海
クルーズ,航行
クレイム,文句
クレイム,苦情
クレジット,信用
クレンジング,浄化
クレーム,文句
クロス,生地
クロス,織地
クロス,裂地
クロック,時計
クロース,生地
クロース,織地
クロース,裂地
クローズ,閉鎖
グズグズ,躊躇
グッド,グー
グッド,好い
グッドウィル,善意
グッドウィル,好意
グラウンド,土地
グラウンド,大地
グランド,土地
グランド,大地
グループ,一党
グループ,一味
グループ,一団
グループ,一群
グループ,仲間
グループ,大群
グループ,徒党
グループ,群れ
グループ,連中
グループ,集り
グルーミー,暗鬱
グルーミー,気鬱
グルーミー,沈鬱
グルーミー,陰鬱
グレイ,鼠色
